Fiscal Year,Scope,Source,GHG MTCDE
2024,1,Other On-Campus Stationary,3269.69
2024,1,Direct Transportation,65.28
2024,1,Refrigerants & Chemicals,431.75
2024,1,Fertilizer & Animals,2.49
2024,2,Purchased Electricity,3929.87
2024,3,Faculty Commuting,91.86
2024,3,Staff Commuting,1153.1
2024,3,Student Commuting,
2024,3,Directly Financed Air Travel,2919.05
2024,3,Other Directly Financed Travel,
2024,3,Study Abroad Air Travel,1687.97
2024,3,Solid Waste,309.58
2024,3,FERA,1328.7
2024,3,Paper Purchasing,7.91
2024,3,T&D Losses,212.76
2023,1,Other On-Campus Stationary,"3,885.92"
2023,1,Direct Transportation,60.32
2023,1,Refrigerants & Chemicals,475.44
2023,1,Fertilizer & Animals,2.12
2023,2,Purchased Electricity,"4,537.15"
2023,3,Faculty Commuting,151.94
2023,3,Staff Commuting,887.39
2023,3,Student Commuting,0.17
2023,3,Directly Financed Air Travel,"1,606.19"
2023,3,Other Directly Financed Travel,39.28
2023,3,Study Abroad Air Travel,693.46
2023,3,Solid Waste,43.9
2023,3,Paper Purchasing,9.48
2023,3,T&D Losses,258.96
2022,1,Other On-Campus Stationary,"3,537.84"
2022,1,Direct Transportation,85.43
2022,1,Refrigerants & Chemicals,"1,086.73"
2022,1,Fertilizer & Animals,1.28
2022,2,Purchased Electricity,"4,241.09"
2022,3,Faculty Commuting,60.19
2022,3,Staff Commuting,401.63
2022,3,Student Commuting,10.12
2022,3,Directly Financed Air Travel,894.03
2022,3,Other Directly Financed Travel,2.95
2022,3,Study Abroad Air Travel,41.03
2022,3,Solid Waste,70.71
2022,3,Paper Purchasing,2.57
2022,3,T&D Losses,238.14
2021,1,Other On-Campus Stationary,"1,847.35"
2021,1,Direct Transportation,16.14
2021,1,Refrigerants & Chemicals,317.38
2021,1,Fertilizer & Animals,2.08
2021,2,Purchased Electricity,"3,308.19"
2021,3,Faculty Commuting,11.57
2021,3,Staff Commuting,197.31
2021,3,Directly Financed Air Travel,54
2021,3,Solid Waste,25.6
2021,3,Paper Purchasing,2.78
2021,3,T&D Losses,185.15
2020,1,Other On-Campus Stationary,"3,227.22"
2020,1,Direct Transportation,41.97
2020,1,Refrigerants & Chemicals,636.57
2020,1,Fertilizer & Animals,2.66
2020,2,Purchased Electricity,"4,511.99"
2020,3,Faculty Commuting,53.65
2020,3,Staff Commuting,343.46
2020,3,Student Commuting,2.66
