Building,Building Type,Area (SF),Month,Fiscal Year,Start Date,End Date,Days,Electricity Usage (kWh),Electricity Cost ($),Electricity Generated (kWh),Natural Gas Start Date,Natural Gas End Date,Days2,Natural Gas Use (therms), Natural Gas Cost ($) ,Total Cost,Electricity Use (kBtu),Natural Gas Use (kBtu),Total kBtu
710 House,Administration - SCE,"3,436",July,2010-11,6/15/2010,7/15/2010,31,,,,6/15/2010,7/15/2010,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2010-11,7/15/2010,8/15/2010,31,,,,7/15/2010,8/15/2010,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2010-11,8/15/2010,9/15/2010,31,,,,8/15/2010,9/15/2010,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2010-11,9/15/2010,10/15/2010,30,,,,9/15/2010,10/15/2010,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2010-11,10/15/2010,11/15/2010,31,,,,10/15/2010,11/15/2010,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2010-11,11/15/2010,12/15/2010,30,,,,11/15/2010,12/15/2010,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2010-11,12/15/2010,1/15/2011,31,,,,12/15/2010,1/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2010-11,1/15/2011,2/15/2011,31,,,,1/15/2011,2/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2010-11,2/15/2011,3/15/2011,28,,,,2/15/2011,3/15/2011,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2010-11,3/15/2011,4/15/2011,31,,,,3/15/2011,4/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2010-11,4/15/2011,5/15/2011,30,,,,4/15/2011,5/15/2011,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2010-11,5/15/2011,6/15/2011,31,,,,5/15/2011,6/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2011-12,6/15/2011,7/15/2011,30,,,,6/15/2011,7/15/2011,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2011-12,7/15/2011,8/15/2011,31,,,,7/15/2011,8/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2011-12,8/15/2011,9/15/2011,31,,,,8/15/2011,9/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2011-12,9/15/2011,10/15/2011,30,,,,9/15/2011,10/15/2011,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2011-12,10/15/2011,11/15/2011,31,,,,10/15/2011,11/15/2011,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2011-12,11/15/2011,12/15/2011,30,,,,11/15/2011,12/15/2011,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2011-12,12/15/2011,1/15/2012,31,,,,12/15/2011,1/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2011-12,1/15/2012,2/15/2012,31,,,,1/15/2012,2/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2011-12,2/15/2012,3/15/2012,29,,,,2/15/2012,3/15/2012,29,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2011-12,3/15/2012,4/15/2012,31,,,,3/15/2012,4/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2011-12,4/15/2012,5/15/2012,30,,,,4/15/2012,5/15/2012,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2011-12,5/15/2012,6/15/2012,31,,,,5/15/2012,6/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2012-13,6/15/2012,7/15/2012,30,,,,6/15/2012,7/15/2012,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2012-13,7/15/2012,8/15/2012,31,,,,7/15/2012,8/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2012-13,8/15/2012,9/15/2012,31,,,,8/15/2012,9/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2012-13,9/15/2012,10/15/2012,30,,,,9/15/2012,10/15/2012,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2012-13,10/15/2012,11/15/2012,31,,,,10/15/2012,11/15/2012,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2012-13,11/15/2012,12/15/2012,30,,,,11/15/2012,12/15/2012,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2012-13,12/15/2012,1/15/2013,31,,,,12/15/2012,1/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2012-13,1/15/2013,2/15/2013,31,,,,1/15/2013,2/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2012-13,2/15/2013,3/15/2013,28,,,,2/15/2013,3/15/2013,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2012-13,3/15/2013,4/15/2013,31,,,,3/15/2013,4/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2012-13,4/15/2013,5/15/2013,30,,,,4/15/2013,5/15/2013,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2012-13,5/15/2013,6/15/2013,31,,,,5/15/2013,6/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2013-14,6/15/2013,7/15/2013,30,,,,6/15/2013,7/15/2013,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2013-14,7/15/2013,8/15/2013,31,,,,7/15/2013,8/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2013-14,8/15/2013,9/15/2013,31,,,,8/15/2013,9/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2013-14,9/15/2013,10/15/2013,30,,,,9/15/2013,10/15/2013,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2013-14,10/15/2013,11/15/2013,31,,,,10/15/2013,11/15/2013,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2013-14,11/15/2013,12/15/2013,30,,,,11/15/2013,12/15/2013,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2013-14,12/15/2013,1/15/2014,31,,,,12/15/2013,1/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2013-14,1/15/2014,2/15/2014,31,,,,1/15/2014,2/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2013-14,2/15/2014,3/15/2014,28,,,,2/15/2014,3/15/2014,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2013-14,3/15/2014,4/15/2014,31,,,,3/15/2014,4/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2013-14,4/15/2014,5/15/2014,30,,,,4/15/2014,5/15/2014,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2013-14,5/15/2014,6/15/2014,31,,,,5/15/2014,6/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2014-15,6/15/2014,7/15/2014,30,,,,6/15/2014,7/15/2014,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2014-15,7/15/2014,8/15/2014,31,,,,7/15/2014,8/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2014-15,8/15/2014,9/15/2014,31,,,,8/15/2014,9/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2014-15,9/15/2014,10/15/2014,30,,,,9/15/2014,10/15/2014,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2014-15,10/15/2014,11/15/2014,31,,,,10/15/2014,11/15/2014,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2014-15,11/15/2014,12/15/2014,30,,,,11/15/2014,12/15/2014,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2014-15,12/15/2014,1/15/2015,31,,,,12/15/2014,1/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2014-15,1/15/2015,2/15/2015,31,,,,1/15/2015,2/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2014-15,2/15/2015,3/15/2015,28,,,,2/15/2015,3/15/2015,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2014-15,3/15/2015,4/15/2015,31,,,,3/15/2015,4/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2014-15,4/15/2015,5/15/2015,30,,,,4/15/2015,5/15/2015,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2014-15,5/15/2015,6/15/2015,31,,,,5/15/2015,6/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2015-16,6/15/2015,7/15/2015,30,,,,6/15/2015,7/15/2015,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2015-16,7/15/2015,8/15/2015,31,,,,7/15/2015,8/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2015-16,8/15/2015,9/15/2015,31,,,,8/15/2015,9/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2015-16,9/15/2015,10/15/2015,30,,,,9/15/2015,10/15/2015,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2015-16,10/15/2015,11/15/2015,31,,,,10/15/2015,11/15/2015,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2015-16,11/15/2015,12/15/2015,30,,,,11/15/2015,12/15/2015,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2015-16,12/15/2015,1/15/2016,31,,,,12/15/2015,1/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2015-16,1/15/2016,2/15/2016,31,,,,1/15/2016,2/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2015-16,2/15/2016,3/15/2016,29,,,,2/15/2016,3/15/2016,29,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2015-16,3/15/2016,4/15/2016,31,,,,3/15/2016,4/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2015-16,4/15/2016,5/15/2016,30,,,,4/15/2016,5/15/2016,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2015-16,5/15/2016,6/15/2016,31,,,,5/15/2016,6/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2016-17,6/15/2016,7/15/2016,30,,,,6/15/2016,7/15/2016,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2016-17,7/15/2016,8/15/2016,31,,,,7/15/2016,8/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2016-17,8/15/2016,9/15/2016,31,,,,8/15/2016,9/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2016-17,9/15/2016,10/15/2016,30,,,,9/15/2016,10/15/2016,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2016-17,10/15/2016,11/15/2016,31,,,,10/15/2016,11/15/2016,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2016-17,11/15/2016,12/15/2016,30,,,,11/15/2016,12/15/2016,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2016-17,12/15/2016,1/15/2017,31,,,,12/15/2016,1/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2016-17,1/15/2017,2/15/2017,31,,,,1/15/2017,2/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2016-17,2/15/2017,3/15/2017,28,,,,2/15/2017,3/15/2017,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2016-17,3/15/2017,4/15/2017,31,,,,3/15/2017,4/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2016-17,4/15/2017,5/15/2017,30,,,,4/15/2017,5/15/2017,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2016-17,5/15/2017,6/15/2017,31,,,,5/15/2017,6/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2017-18,6/15/2017,7/15/2017,30,,,,6/15/2017,7/15/2017,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2017-18,7/15/2017,8/15/2017,31,,,,7/15/2017,8/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2017-18,8/15/2017,9/15/2017,31,,,,8/15/2017,9/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2017-18,9/15/2017,10/15/2017,30,,,,9/15/2017,10/15/2017,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",November,2017-18,10/15/2017,11/15/2017,31,,,,10/15/2017,11/15/2017,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",December,2017-18,11/15/2017,12/15/2017,30,,,,11/15/2017,12/15/2017,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",January,2017-18,12/15/2017,1/15/2018,31,,,,12/15/2017,1/15/2018,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",February,2017-18,1/15/2018,2/15/2018,31,,,,1/15/2018,2/15/2018,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",March,2017-18,2/15/2018,3/15/2018,28,,,,2/15/2018,3/15/2018,28,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",April,2017-18,3/15/2018,4/15/2018,31,,,,3/15/2018,4/15/2018,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",May,2017-18,4/15/2018,5/15/2018,30,,,,4/15/2018,5/15/2018,30,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",June,2017-18,5/15/2018,6/15/2018,31,,,,5/15/2018,6/15/2018,31,,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",July,2018-19,6/15/2018,7/15/2018,30, -   ,,,6/15/2018,7/15/2018,30,0,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",August,2018-19,7/15/2018,8/15/2018,31, -   ,,,7/15/2018,8/15/2018,31,0,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",September,2018-19,8/15/2018,9/15/2018,31, -   ,,,8/15/2018,9/15/2018,31,0,, $-   , -    , -    , -    
710 House,Administration - SCE,"3,436",October,2018-19,9/15/2018,10/15/2018,30,89,,,9/15/2018,10/15/2018,30,0,, $-   ,303.68, -    ,303.68
710 House,Administration - SCE,"3,436",November,2018-19,10/15/2018,11/15/2018,31,99,,,10/15/2018,11/15/2018,31,0,, $-   ,337.8, -    ,337.8
710 House,Administration - SCE,"3,436",December,2018-19,11/15/2018,12/15/2018,30,161,,,11/15/2018,12/15/2018,30,0,, $-   ,549.35, -    ,549.35
710 House,Administration - SCE,"3,436",January,2018-19,12/15/2018,1/15/2019,31,78,,,12/15/2018,1/15/2019,31,0,, $-   ,266.15, -    ,266.15
710 House,Administration - SCE,"3,436",February,2018-19,1/15/2019,2/15/2019,31,86,,,1/15/2019,2/15/2019,31,7,, $-   ,293.44,699.83,993.28
710 House,Administration - SCE,"3,436",March,2018-19,2/15/2019,3/15/2019,28,73,,,2/15/2019,3/15/2019,28,7,, $-   ,249.09,699.83,948.92
710 House,Administration - SCE,"3,436",April,2018-19,3/15/2019,4/15/2019,31,139,,,3/15/2019,4/15/2019,31,6,, $-   ,474.29,599.86,"1,074.14"
710 House,Administration - SCE,"3,436",May,2018-19,4/15/2019,5/15/2019,30,168,,,4/15/2019,5/15/2019,30,5,, $-   ,573.24,499.88,"1,073.12"
710 House,Administration - SCE,"3,436",June,2018-19,5/15/2019,6/15/2019,31,98,,,5/15/2019,6/15/2019,31,5,, $-   ,334.39,499.88,834.27
710 House,Administration - SCE,"3,436",July,2019-20,6/15/2019,7/15/2019,30,70,,,6/15/2019,7/15/2019,30,5,, $-   ,238.85,499.88,738.73
710 House,Administration - SCE,"3,436",August,2019-20,7/15/2019,8/15/2019,31,69,,,7/15/2019,8/15/2019,31,4,, $-   ,235.44,399.9,635.34
710 House,Administration - SCE,"3,436",September,2019-20,8/15/2019,9/15/2019,31,191,,,8/15/2019,9/15/2019,31,3,, $-   ,651.72,299.93,951.65
710 House,Administration - SCE,"3,436",October,2019-20,9/15/2019,10/15/2019,30,70,,,9/15/2019,10/15/2019,30,0,, $-   ,238.85, -    ,238.85
