Building,Building Type,Meter Type,Area,Month,Fiscal Year,Quarter,Start Date,End Date,Days,Water Usage (CCF),Water Cost ($),Estimated Water Usage (CCF)
710 House,Administration,Domestic,,July,FY14,,,,,,,
710 House,Administration,Domestic,,August,FY14,,,,,,,
710 House,Administration,Domestic,,September,FY14,,,,,,,
710 House,Administration,Domestic,,October,FY14,,,,,,,
710 House,Administration,Domestic,,November,FY14,,,,,,,
710 House,Administration,Domestic,,December,FY14,,,,,,,
710 House,Administration,Domestic,,January,FY14,,,,,,,
710 House,Administration,Domestic,,February,FY14,,,,,,,
710 House,Administration,Domestic,,March,FY14,,,,,,,
710 House,Administration,Domestic,,April,FY14,,,,,,,
710 House,Administration,Domestic,,May,FY14,,,,,,,
710 House,Administration,Domestic,,June,FY14,,,,,,,
738 House,Administration,Domestic,,July,FY14,,,,,,,
738 House,Administration,Domestic,,August,FY14,,,,,,,
738 House,Administration,Domestic,,September,FY14,,,,,,,
738 House,Administration,Domestic,,October,FY14,,,,,,,
738 House,Administration,Domestic,,November,FY14,,,,,,,
738 House,Administration,Domestic,,December,FY14,,,,,,,
738 House,Administration,Domestic,,January,FY14,,,,,,,
738 House,Administration,Domestic,,February,FY14,,,,,,,
738 House,Administration,Domestic,,March,FY14,,,,,,,
738 House,Administration,Domestic,,April,FY14,,,,,,,
738 House,Administration,Domestic,,May,FY14,,,,,,,
738 House,Administration,Domestic,,June,FY14,,,,,,,
740 House,Academic,Domestic,,July,FY14,,,,,,,
740 House,Academic,Domestic,,August,FY14,,,,,,,
740 House,Academic,Domestic,,September,FY14,,,,,,,
740 House,Academic,Domestic,,October,FY14,,,,,,,
740 House,Academic,Domestic,,November,FY14,,,,,,,
740 House,Academic,Domestic,,December,FY14,,,,,,,
740 House,Academic,Domestic,,January,FY14,,,,,,,
740 House,Academic,Domestic,,February,FY14,,,,,,,
740 House,Academic,Domestic,,March,FY14,,,,,,,
740 House,Academic,Domestic,,April,FY14,,,,,,,
740 House,Academic,Domestic,,May,FY14,,,,,,,
740 House,Academic,Domestic,,June,FY14,,,,,,,
Alexander,Administration,Domestic,,July,FY14,,,,,34,,
Alexander,Administration,Domestic,,August,FY14,,,,,42,,
Alexander,Administration,Domestic,,September,FY14,,,,,59,,
Alexander,Administration,Domestic,,October,FY14,,,,,48,,
Alexander,Administration,Domestic,,November,FY14,,,,,53,,
Alexander,Administration,Domestic,,December,FY14,,,,,46,,
Alexander,Administration,Domestic,,January,FY14,,,,,14,,
Alexander,Administration,Domestic,,February,FY14,,,,,26,,
Alexander,Administration,Domestic,,March,FY14,,,,,26,,
Alexander,Administration,Domestic,,April,FY14,,,,,21,,
Alexander,Administration,Domestic,,May,FY14,,,,,26,,
Alexander,Administration,Domestic,,June,FY14,,,,,24,,
Alexander (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Alexander (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
Baldwin House,Administration,Domestic,,July,FY14,,,,,215,,
Baldwin House,Administration,Domestic,,August,FY14,,,,,202,,
Baldwin House,Administration,Domestic,,September,FY14,,,,,241,,
Baldwin House,Administration,Domestic,,October,FY14,,,,,166,,
Baldwin House,Administration,Domestic,,November,FY14,,,,,122,,
Baldwin House,Administration,Domestic,,December,FY14,,,,,67,,
Baldwin House,Administration,Domestic,,January,FY14,,,,,1,,
Baldwin House,Administration,Domestic,,February,FY14,,,,, -   ,,
Baldwin House,Administration,Domestic,,March,FY14,,,,, -   ,,
Baldwin House,Administration,Domestic,,April,FY14,,,,,1,,
Baldwin House,Administration,Domestic,,May,FY14,,,,, -   ,,
Baldwin House,Administration,Domestic,,June,FY14,,,,, -   ,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,July,FY14,,,,,195,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,August,FY14,,,,,165,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,September,FY14,,,,,285,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,October,FY14,,,,,141,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,November,FY14,,,,,107,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,December,FY14,,,,,57,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,January,FY14,,,,,46,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,February,FY14,,,,,115,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,March,FY14,,,,,66,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,April,FY14,,,,,93,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,May,FY14,,,,,135,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,June,FY14,,,,,165,,
Benton Museum of Art,Venue,Domestic,,July,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,August,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,September,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,October,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,November,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,December,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,January,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,February,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,March,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,April,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,May,FY14,,,,,,,
Benton Museum of Art,Venue,Domestic,,June,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,July,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,August,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,September,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,October,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,November,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,December,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,January,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,February,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,March,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,April,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,May,FY14,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,June,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,July,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,August,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,September,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,October,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,November,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,December,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,January,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,February,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,March,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,April,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,May,FY14,,,,,,,
Campus Main North,Multi-Use,Domestic,,June,FY14,,,,,,,
Campus Main South,Academic,Domestic,,July,FY14,,,,,,,
Campus Main South,Academic,Domestic,,August,FY14,,,,,,,
Campus Main South,Academic,Domestic,,September,FY14,,,,,,,
Campus Main South,Academic,Domestic,,October,FY14,,,,,,,
Campus Main South,Academic,Domestic,,November,FY14,,,,,,,
Campus Main South,Academic,Domestic,,December,FY14,,,,,,,
Campus Main South,Academic,Domestic,,January,FY14,,,,,,,
Campus Main South,Academic,Domestic,,February,FY14,,,,,,,
Campus Main South,Academic,Domestic,,March,FY14,,,,,,,
Campus Main South,Academic,Domestic,,April,FY14,,,,,,,
Campus Main South,Academic,Domestic,,May,FY14,,,,,,,
Campus Main South,Academic,Domestic,,June,FY14,,,,,,,
Carnegie (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
CARW,Athletic & Recreation,Domestic,,July,FY14,,,,,134,,
CARW,Athletic & Recreation,Domestic,,August,FY14,,,,,127,,
CARW,Athletic & Recreation,Domestic,,September,FY14,,,,,"4,706",,
CARW,Athletic & Recreation,Domestic,,October,FY14,,,,,152,,
CARW,Athletic & Recreation,Domestic,,November,FY14,,,,,136,,
CARW,Athletic & Recreation,Domestic,,December,FY14,,,,,111,,
CARW,Athletic & Recreation,Domestic,,January,FY14,,,,,74,,
CARW,Athletic & Recreation,Domestic,,February,FY14,,,,,182,,
CARW,Athletic & Recreation,Domestic,,March,FY14,,,,,113,,
CARW,Athletic & Recreation,Domestic,,April,FY14,,,,,108,,
CARW,Athletic & Recreation,Domestic,,May,FY14,,,,,153,,
CARW,Athletic & Recreation,Domestic,,June,FY14,,,,,138,,
CARW (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
CARW (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
Clark V,Residential,Domestic,,July,FY14,,,,,,,
Clark V,Residential,Domestic,,August,FY14,,,,,,,
Clark V,Residential,Domestic,,September,FY14,,,,,,,
Clark V,Residential,Domestic,,October,FY14,,,,,,,
Clark V,Residential,Domestic,,November,FY14,,,,,,,
Clark V,Residential,Domestic,,December,FY14,,,,,,,
Clark V,Residential,Domestic,,January,FY14,,,,,,,
Clark V,Residential,Domestic,,February,FY14,,,,,,,
Clark V,Residential,Domestic,,March,FY14,,,,,,,
Clark V,Residential,Domestic,,April,FY14,,,,,,,
Clark V,Residential,Domestic,,May,FY14,,,,,,,
Clark V,Residential,Domestic,,June,FY14,,,,,,,
Clark V (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Clark V (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
Cook House,Administration,Domestic,,July,FY14,,,,,1,,
Cook House,Administration,Domestic,,August,FY14,,,,, -   ,,
Cook House,Administration,Domestic,,September,FY14,,,,,7,,
Cook House,Administration,Domestic,,October,FY14,,,,,7,,
Cook House,Administration,Domestic,,November,FY14,,,,,6,,
Cook House,Administration,Domestic,,December,FY14,,,,,5,,
Cook House,Administration,Domestic,,January,FY14,,,,,6,,
Cook House,Administration,Domestic,,February,FY14,,,,,11,,
Cook House,Administration,Domestic,,March,FY14,,,,,8,,
Cook House,Administration,Domestic,,April,FY14,,,,,7,,
Cook House,Administration,Domestic,,May,FY14,,,,,3,,
Cook House,Administration,Domestic,,June,FY14,,,,,1,,
Cowart,Administration,Domestic,,July,FY14,,,,,7,,
Cowart,Administration,Domestic,,August,FY14,,,,,7,,
Cowart,Administration,Domestic,,September,FY14,,,,,11,,
Cowart,Administration,Domestic,,October,FY14,,,,,8,,
Cowart,Administration,Domestic,,November,FY14,,,,,8,,
Cowart,Administration,Domestic,,December,FY14,,,,,8,,
Cowart,Administration,Domestic,,January,FY14,,,,,5,,
Cowart,Administration,Domestic,,February,FY14,,,,,8,,
Cowart,Administration,Domestic,,March,FY14,,,,,9,,
Cowart,Administration,Domestic,,April,FY14,,,,,7,,
Cowart,Administration,Domestic,,May,FY14,,,,,10,,
Cowart,Administration,Domestic,,June,FY14,,,,,7,,
Cowart (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Cowart (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Crookshank (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
Dean of College House,Residential,Domestic,,July,FY14,,,,,45,,
Dean of College House,Residential,Domestic,,August,FY14,,,,,50,,
Dean of College House,Residential,Domestic,,September,FY14,,,,,95,,
Dean of College House,Residential,Domestic,,October,FY14,,,,,35,,
Dean of College House,Residential,Domestic,,November,FY14,,,,,25,,
Dean of College House,Residential,Domestic,,December,FY14,,,,,11,,
Dean of College House,Residential,Domestic,,January,FY14,,,,,16,,
Dean of College House,Residential,Domestic,,February,FY14,,,,,33,,
Dean of College House,Residential,Domestic,,March,FY14,,,,,24,,
Dean of College House,Residential,Domestic,,April,FY14,,,,,30,,
Dean of College House,Residential,Domestic,,May,FY14,,,,,42,,
Dean of College House,Residential,Domestic,,June,FY14,,,,,48,,
Dean of Students House,Residential,Domestic,,July,FY14,,,,,31,,
Dean of Students House,Residential,Domestic,,August,FY14,,,,,32,,
Dean of Students House,Residential,Domestic,,September,FY14,,,,,47,,
Dean of Students House,Residential,Domestic,,October,FY14,,,,,21,,
Dean of Students House,Residential,Domestic,,November,FY14,,,,,20,,
Dean of Students House,Residential,Domestic,,December,FY14,,,,,12,,
Dean of Students House,Residential,Domestic,,January,FY14,,,,,11,,
Dean of Students House,Residential,Domestic,,February,FY14,,,,,38,,
Dean of Students House,Residential,Domestic,,March,FY14,,,,,13,,
Dean of Students House,Residential,Domestic,,April,FY14,,,,,18,,
Dean of Students House,Residential,Domestic,,May,FY14,,,,,26,,
Dean of Students House,Residential,Domestic,,June,FY14,,,,,23,,
Dialynas,Residential,Domestic,,July,FY14,,,,,425,,
Dialynas,Residential,Domestic,,August,FY14,,,,,328,,
Dialynas,Residential,Domestic,,September,FY14,,,,,362,,
Dialynas,Residential,Domestic,,October,FY14,,,,,268,,
Dialynas,Residential,Domestic,,November,FY14,,,,,190,,
Dialynas,Residential,Domestic,,December,FY14,,,,,59,,
Dialynas,Residential,Domestic,,January,FY14,,,,,115,,
Dialynas,Residential,Domestic,,February,FY14,,,,,491,,
Dialynas,Residential,Domestic,,March,FY14,,,,,190,,
Dialynas,Residential,Domestic,,April,FY14,,,,,257,,
Dialynas,Residential,Domestic,,May,FY14,,,,,381,,
Dialynas,Residential,Domestic,,June,FY14,,,,,402,,
Dialynas (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,August,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,September,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,October,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,November,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,December,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,January,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,February,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,March,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,April,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,May,FY14,,,,, -   ,,
Dialynas (Fire),Fire,Fire,,June,FY14,,,,, -   ,,
East Campus (Irrigation),Irrigation,Irrigation,,July,FY14,,,,,"51,639",,
East Campus (Irrigation),Irrigation,Irrigation,,August,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,September,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,October,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,November,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,December,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,January,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,February,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,March,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,April,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,May,FY14,,,,,,,
East Campus (Irrigation),Irrigation,Irrigation,,June,FY14,,,,,,,
Emeritus House,Academic,Domestic,,July,FY14,,,,,5,,
Emeritus House,Academic,Domestic,,August,FY14,,,,,4,,
Emeritus House,Academic,Domestic,,September,FY14,,,,,5,,
Emeritus House,Academic,Domestic,,October,FY14,,,,,5,,
Emeritus House,Academic,Domestic,,November,FY14,,,,,5,,
Emeritus House,Academic,Domestic,,December,FY14,,,,,4,,
Emeritus House,Academic,Domestic,,January,FY14,,,,,3,,
Emeritus House,Academic,Domestic,,February,FY14,,,,,4,,
Emeritus House,Academic,Domestic,,March,FY14,,,,,2,,
Emeritus House,Academic,Domestic,,April,FY14,,,,,3,,
Emeritus House,Academic,Domestic,,May,FY14,,,,,4,,
Emeritus House,Academic,Domestic,,June,FY14,,,,,3,,
Estella Lab,Science,Domestic,,July,FY14,,,,,20,,
Estella Lab,Science,Domestic,,August,FY14,,,,,8,,
Estella Lab,Science,Domestic,,September,FY14,,,,,2,,
Estella Lab,Science,Domestic,,October,FY14,,,,, -   ,,
Estella Lab,Science,Domestic,,November,FY14,,,,,50,,
Estella Lab,Science,Domestic,,December,FY14,,,,, -   ,,
Estella Lab,Science,Domestic,,January,FY14,,,,, -   ,,
Estella Lab,Science,Domestic,,February,FY14,,,,,410,,
Estella Lab,Science,Domestic,,March,FY14,,,,,8,,
Estella Lab,Science,Domestic,,April,FY14,,,,,8,,
Estella Lab,Science,Domestic,,May,FY14,,,,,86,,
Estella Lab,Science,Domestic,,June,FY14,,,,,18,,
Estella Lab (Fire),Fire,Fire,,July,FY14,,,,, -   ,,
